Symbol,Date,Open,High,Low,Close,Volume
AACG,02-Apr-2020 09:30,0.95,0.95,0.95,0.95,3690
AACG,02-Apr-2020 10:45,0.94,0.94,0.94,0.94,100
AACG,02-Apr-2020 11:30,0.92,0.92,0.92,0.92,100
AACG,02-Apr-2020 12:15,0.92,0.94,0.92,0.94,366
AACG,02-Apr-2020 14:00,0.94,0.94,0.94,0.94,100
AACG,02-Apr-2020 14:45,0.92,0.92,0.92,0.92,100
AACG,02-Apr-2020 15:45,0.92,0.92,0.92,0.92,300
AAL,02-Apr-2020 09:00,10.91,10.95,10.75,10.76,40415
AAL,02-Apr-2020 09:15,10.74,10.74,10.62,10.64,209930
AAL,02-Apr-2020 09:30,10.63,10.99,10.61,10.92,1721274
AAL,02-Apr-2020 09:45,10.76,10.8,10.5,10.5,1429521
AAL,02-Apr-2020 10:00,10.61,10.7,10.51,10.66,733971
AAL,02-Apr-2020 10:15,10.67,10.68,10.66,10.67,72925
AAL,02-Apr-2020 10:30,10.6,10.75,10.56,10.64,1355639
AAL,02-Apr-2020 10:45,10.61,10.61,10.51,10.53,822838
AAL,02-Apr-2020 11:00,10.44,10.45,10.4,10.41,97147
AAL,02-Apr-2020 11:15,10.3,10.38,10.23,10.24,1317840
AAL,02-Apr-2020 11:30,10.16,10.23,10.15,10.21,734614
AAL,02-Apr-2020 11:45,10.22,10.31,10.2,10.24,917115
AAL,02-Apr-2020 12:00,10.26,10.36,10.25,10.32,583556
AAL,02-Apr-2020 12:15,10.31,10.33,10.3,10.33,265802
AAL,02-Apr-2020 12:30,10.23,10.24,10.15,10.16,1476476
AAL,02-Apr-2020 12:45,10.21,10.26,10.2,10.23,385554
AAL,02-Apr-2020 13:00,10.22,10.22,10.17,10.18,287155
AAL,02-Apr-2020 13:15,10.18,10.19,10.11,10.16,1416557
AAL,02-Apr-2020 13:30,10.11,10.12,10.11,10.11,225803
AAL,02-Apr-2020 13:45,10.12,10.12,10.12,10.12,1256
AAL,02-Apr-2020 14:00,10.08,10.09,10.03,10.03,825311
AAL,02-Apr-2020 14:15,10.06,10.07,10.03,10.05,303558
AAL,02-Apr-2020 14:30,10.07,10.08,10.04,10.06,1292048
AAL,02-Apr-2020 14:45,10.03,10.05,10,10,847813
AAL,02-Apr-2020 15:00,10.08,10.13,10.04,10.06,519828
AAL,02-Apr-2020 15:15,10.03,10.11,10.02,10.07,863868
AAL,02-Apr-2020 15:30,10.04,10.05,10.04,10.04,418643
AAL,02-Apr-2020 15:45,10.06,10.07,10.05,10.05,235291
AAL,02-Apr-2020 16:00,10.06,10.7,10.03,10.08,852354
AAL,02-Apr-2020 16:15,10.14,10.18,10.06,10.16,36612
AAL,02-Apr-2020 16:30,10.25,10.27,10.18,10.2,18798
AAL,02-Apr-2020 16:45,10.22,10.26,10.21,10.21,20940
AAME,02-Apr-2020 09:30,2.19,2.19,2.19,2.19,202
AAME,02-Apr-2020 11:30,2.11,2.11,2.11,2.11,300
AAME,02-Apr-2020 11:45,2.05,2.05,2.01,2.01,954
AAME,02-Apr-2020 12:00,2.1,2.1,2.1,2.1,100
AAOI,02-Apr-2020 09:00,7,7,7,7,530
AAOI,02-Apr-2020 09:15,7.27,7.27,7.27,7.27,300
AAOI,02-Apr-2020 09:30,7.34,7.34,7.19,7.34,11112
AAOI,02-Apr-2020 09:45,7.35,7.35,7.28,7.28,4761
AAOI,02-Apr-2020 10:00,7.46,7.53,7.43,7.52,19764
AAOI,02-Apr-2020 10:15,7.65,7.69,7.64,7.64,400
AAOI,02-Apr-2020 10:30,7.73,7.8,7.73,7.77,7481
AAOI,02-Apr-2020 10:45,7.74,7.74,7.66,7.68,17126
AAOI,02-Apr-2020 11:00,7.69,7.69,7.69,7.69,100
AAOI,02-Apr-2020 11:15,7.75,7.78,7.67,7.68,18974
AAOI,02-Apr-2020 11:30,7.67,7.7,7.66,7.7,5930
AAOI,02-Apr-2020 11:45,7.72,7.79,7.69,7.74,24155
AAOI,02-Apr-2020 12:00,7.71,7.75,7.7,7.75,2000
AAOI,02-Apr-2020 12:15,7.71,7.71,7.69,7.71,8943
AAOI,02-Apr-2020 12:30,7.69,7.7,7.66,7.7,21601
AAOI,02-Apr-2020 12:45,7.72,7.73,7.68,7.71,4845
AAOI,02-Apr-2020 13:00,7.69,7.72,7.69,7.7,3800
AAOI,02-Apr-2020 13:15,7.69,7.7,7.62,7.69,19138
AAOI,02-Apr-2020 13:30,7.68,7.69,7.67,7.68,7482
AAOI,02-Apr-2020 13:45,7.69,7.71,7.67,7.68,5507
AAOI,02-Apr-2020 14:00,7.68,7.7,7.64,7.69,25862
AAOI,02-Apr-2020 14:15,7.68,7.68,7.63,7.64,7409
AAOI,02-Apr-2020 14:30,7.61,7.61,7.52,7.59,17197
AAOI,02-Apr-2020 14:45,7.58,7.62,7.57,7.61,7960
AAOI,02-Apr-2020 15:00,7.72,7.72,7.71,7.71,2233
AAOI,02-Apr-2020 15:15,7.68,7.7,7.65,7.68,8955
AAOI,02-Apr-2020 15:30,7.67,7.68,7.62,7.66,10080
AAOI,02-Apr-2020 15:45,7.67,7.67,7.65,7.66,1616
AAOI,02-Apr-2020 16:00,7.69,7.69,7.69,7.69,8862
AAON,02-Apr-2020 09:30,47.16,48.79,47.16,47.5,3438
AAON,02-Apr-2020 09:45,47.71,47.9,47.06,47.06,1800
AAON,02-Apr-2020 10:00,46.82,47.15,46.6,47.15,400
AAON,02-Apr-2020 10:15,47.46,47.46,46.66,46.82,4463
AAON,02-Apr-2020 10:30,47.24,47.34,46.78,47.34,1300
AAON,02-Apr-2020 10:45,47.42,47.63,47.42,47.56,665
AAON,02-Apr-2020 11:00,47.81,48.17,47.44,47.44,4671
AAON,02-Apr-2020 11:15,47.41,47.64,47.41,47.64,1421
AAON,02-Apr-2020 11:30,47.51,47.51,47.51,47.51,100
AAON,02-Apr-2020 11:45,47.91,48.05,47.91,48.01,926
AAON,02-Apr-2020 12:00,48.19,48.19,48.15,48.15,400
AAON,02-Apr-2020 12:15,48.12,48.23,48.05,48.05,1166
AAON,02-Apr-2020 12:30,48.12,48.29,48,48.22,1700
AAON,02-Apr-2020 12:45,48.1,48.15,47.77,48.01,3462
AAON,02-Apr-2020 13:00,47.71,47.88,47.71,47.88,500
AAON,02-Apr-2020 13:15,47.96,48.07,47.73,48.07,1500
AAON,02-Apr-2020 13:30,47.73,47.91,47.51,47.91,1392
AAON,02-Apr-2020 13:45,47.98,48.22,47.97,48.11,1915
AAON,02-Apr-2020 14:00,47.68,47.75,47.23,47.31,1400
AAON,02-Apr-2020 14:15,47.29,47.4,47.19,47.19,1000
AAON,02-Apr-2020 14:30,47,47.47,46.89,47.47,2065
AAON,02-Apr-2020 14:45,46.99,47.06,46.85,46.89,2500
AAON,02-Apr-2020 15:00,47.33,47.33,47.17,47.18,933
AAON,02-Apr-2020 15:15,47.21,47.54,47.19,47.46,2896
AAON,02-Apr-2020 15:30,47.74,47.74,47.38,47.38,800
AAON,02-Apr-2020 15:45,47.77,47.79,47.66,47.66,600
AAON,02-Apr-2020 16:00,48.16,48.16,48.16,48.16,20348
AAPL,02-Apr-2020 09:00,241.1,241.49,240,240,32269
AAPL,02-Apr-2020 09:15,239.16,240.91,239.16,240,55596
AAPL,02-Apr-2020 09:30,240.24,241.14,239.09,239.92,1232535
AAPL,02-Apr-2020 09:45,239.64,239.83,237.1,238.17,761255
AAPL,02-Apr-2020 10:00,239.39,240.15,239.06,239.64,445378
AAPL,02-Apr-2020 10:15,241.05,241.18,240.1,241.1,103598
AAPL,02-Apr-2020 10:30,241.19,244.35,240.1,242.94,1395106
AAPL,02-Apr-2020 10:45,242.23,242.85,241.85,241.86,405616
AAPL,02-Apr-2020 11:00,242.57,242.71,242.17,242.38,73354
AAPL,02-Apr-2020 11:15,241.75,242.74,241.1,241.86,399944
AAPL,02-Apr-2020 11:30,241.57,242.22,241.53,241.97,203085
AAPL,02-Apr-2020 11:45,242.28,242.28,242.28,242.28,1000
AAPL,02-Apr-2020 12:00,242.74,243.53,242.1,243.33,288259
AAPL,02-Apr-2020 12:15,242.89,243.01,242.55,243.01,136028
AAPL,02-Apr-2020 12:30,242.08,242.63,241.1,242.25,407645
AAPL,02-Apr-2020 12:45,242.56,242.97,242.3,242.97,205323
AAPL,02-Apr-2020 13:00,242.69,243,242.45,242.98,86896
AAPL,02-Apr-2020 13:15,241.4,241.55,240.09,240.78,543668
AAPL,02-Apr-2020 13:30,239.82,239.83,238.96,239.37,315961
AAPL,02-Apr-2020 13:45,240.3,240.72,240,240.54,498505
AAPL,02-Apr-2020 14:00,240.19,240.22,238.1,239.08,433555
AAPL,02-Apr-2020 14:15,238.16,238.36,237.44,237.49,213493
AAPL,02-Apr-2020 14:30,238.44,239.19,237.1,239.12,611625
AAPL,02-Apr-2020 14:45,238.49,239.5,238.03,238.93,457874
AAPL,02-Apr-2020 15:00,241,241.56,240.99,241.15,231401
AAPL,02-Apr-2020 15:15,240.88,242.36,240.75,241.97,710161
AAPL,02-Apr-2020 15:30,241.8,242.5,241.1,241.59,473782
AAPL,02-Apr-2020 15:45,242.8,243.1,242.67,243.07,191269
AAPL,02-Apr-2020 16:00,244.93,245.72,244.65,245.5,2780739
AAPL,02-Apr-2020 16:15,245.16,245.34,244.93,245.2,16137
AAPL,02-Apr-2020 16:30,245.18,245.54,245.18,245.36,15861
AAPL,02-Apr-2020 16:45,245.16,245.22,245.11,245.2,3280
AAWW,02-Apr-2020 09:15,23.95,23.95,23.95,23.95,2723
AAWW,02-Apr-2020 09:30,24.51,24.65,24.1,24.63,9235
AAWW,02-Apr-2020 09:45,23.81,23.98,23.75,23.84,900
AAWW,02-Apr-2020 10:00,24.1,24.52,23.98,24.14,11047
AAWW,02-Apr-2020 10:15,24.22,24.22,24.22,24.22,100
AAWW,02-Apr-2020 10:30,24.3,24.93,24.3,24.89,8893
AAWW,02-Apr-2020 10:45,24.56,24.93,24.56,24.86,800
AAWW,02-Apr-2020 11:00,24.78,24.9,24.66,24.9,500
AAWW,02-Apr-2020 11:15,24.8,24.91,24.21,24.33,4348
AAWW,02-Apr-2020 11:30,23.79,23.86,23.77,23.84,2705
AAWW,02-Apr-2020 11:45,24.05,24.28,23.99,24.28,3810
AAWW,02-Apr-2020 12:00,24.44,24.71,24.44,24.64,6836
AAWW,02-Apr-2020 12:15,24.77,24.77,24.645,24.68,800
AAWW,02-Apr-2020 12:30,24.26,24.26,23.87,23.87,8103
AAWW,02-Apr-2020 12:45,23.96,24.06,23.96,24.01,3157
AAWW,02-Apr-2020 13:00,24.14,24.14,23.965,23.965,1099
AAWW,02-Apr-2020 13:15,23.61,23.61,23.36,23.39,10029
AAWW,02-Apr-2020 13:30,23.45,23.6822,23.35,23.6822,5200
AAWW,02-Apr-2020 13:45,23.795,23.83,23.57,23.79,3300
AAWW,02-Apr-2020 14:00,23.61,23.625,23.46,23.52,2700
AAWW,02-Apr-2020 14:15,23.45,23.45,23.27,23.34,2500
AAWW,02-Apr-2020 14:30,23.4,23.41,23.14,23.2654,7439
AAWW,02-Apr-2020 14:45,23.205,23.26,23.05,23.18,4600
AAWW,02-Apr-2020 15:00,23.44,23.485,23.32,23.32,1900
AAWW,02-Apr-2020 15:15,23.27,23.58,23.27,23.34,4400
AAWW,02-Apr-2020 15:30,23.32,23.35,23.15,23.255,10489
AAWW,02-Apr-2020 15:45,23.145,23.26,23.145,23.205,1808
AAWW,02-Apr-2020 16:00,23.5,23.5,23.5,23.5,31590
AAXJ,02-Apr-2020 09:00,58.2,58.2,58.2,58.2,2300
AAXJ,02-Apr-2020 09:15,58,58,58,58,200
AAXJ,02-Apr-2020 09:30,58.15,58.4,58.15,58.33,92476
AAXJ,02-Apr-2020 09:45,58.26,58.3,58.1,58.14,46291
AAXJ,02-Apr-2020 10:00,58.33,58.37,58.28,58.37,4007
AAXJ,02-Apr-2020 10:15,58.57,58.57,58.53,58.53,1200
AAXJ,02-Apr-2020 10:30,58.64,59.17,58.62,59.07,18806
AAXJ,02-Apr-2020 10:45,58.98,59.06,58.84,58.87,8550
AAXJ,02-Apr-2020 11:00,59.03,59.04,58.97,58.97,3650
AAXJ,02-Apr-2020 11:15,58.78,58.9,58.78,58.8,14000
AAXJ,02-Apr-2020 11:30,58.7,58.8,58.7,58.78,2310
AAXJ,02-Apr-2020 11:45,58.77,58.93,58.77,58.83,4400
AAXJ,02-Apr-2020 12:00,58.88,58.98,58.85,58.93,5860
AAXJ,02-Apr-2020 12:15,58.89,58.89,58.88,58.88,800
AAXJ,02-Apr-2020 12:30,58.7,58.78,58.67,58.74,40550
AAXJ,02-Apr-2020 12:45,58.68,58.81,58.68,58.81,12314
AAXJ,02-Apr-2020 13:00,58.75,58.77,58.7,58.77,800
AAXJ,02-Apr-2020 13:15,58.5,58.51,58.36,58.46,21640
AAXJ,02-Apr-2020 13:30,58.28,58.33,58.23,58.27,49100
AAXJ,02-Apr-2020 13:45,58.4,58.48,58.35,58.46,4159
AAXJ,02-Apr-2020 14:00,58.38,58.38,58.2,58.22,19255
AAXJ,02-Apr-2020 14:15,58.3,58.32,58.21,58.21,3766
AAXJ,02-Apr-2020 14:30,58.3,58.39,58.23,58.37,15367
AAXJ,02-Apr-2020 14:45,58.26,58.37,58.22,58.26,8600
AAXJ,02-Apr-2020 15:00,58.58,58.64,58.53,58.54,3400
AAXJ,02-Apr-2020 15:15,58.63,58.78,58.62,58.74,27412
AAXJ,02-Apr-2020 15:30,58.75,58.79,58.65,58.72,113952
AAXJ,02-Apr-2020 15:45,58.89,58.9,58.86,58.88,10387
AAXJ,02-Apr-2020 16:00,59.02,59.02,59.02,59.02,33776
AAXN,02-Apr-2020 09:15,64.72,64.72,64.72,64.72,975
AAXN,02-Apr-2020 09:30,64.99,64.99,63.61,64.22,7578
AAXN,02-Apr-2020 09:45,63.34,63.38,62.56,62.58,4351
AAXN,02-Apr-2020 10:00,63.35,63.99,62.81,63.99,15391
AAXN,02-Apr-2020 10:15,64.27,64.63,64.27,64.63,600
AAXN,02-Apr-2020 10:30,65.82,67.29,65.82,67.07,7356
AAXN,02-Apr-2020 10:45,66.5,66.77,65.66,65.66,1400
AAXN,02-Apr-2020 11:00,65.87,65.87,65.87,65.87,200
AAXN,02-Apr-2020 11:15,65.47,65.87,64.85,64.98,10961
AAXN,02-Apr-2020 11:30,64.7,65.51,64.7,65.51,1500
AAXN,02-Apr-2020 11:45,65.04,65.17,65,65.06,2822
AAXN,02-Apr-2020 12:00,64.76,65.6,64.76,65.6,1700
AAXN,02-Apr-2020 12:15,65.23,65.23,65.23,65.23,300
AAXN,02-Apr-2020 12:30,64.7,64.7,64.05,64.24,1120
AAXN,02-Apr-2020 12:45,64.32,64.72,64.32,64.7,3167
AAXN,02-Apr-2020 13:00,64.27,64.51,64,64,3534
AAXN,02-Apr-2020 13:15,63.93,63.97,63.5,63.51,2288
AAXN,02-Apr-2020 13:30,63.15,63.15,62.86,63,1681
AAXN,02-Apr-2020 13:45,63.28,63.28,62.71,63.26,4009
AAXN,02-Apr-2020 14:00,62.7,62.7,62.06,62.3,4946
AAXN,02-Apr-2020 14:15,62.46,62.46,61.68,61.83,3989
