,index,0
0,AAL,130
1,AAOI,130
2,AAON,130
3,AAPL,130
4,AAWW,130
5,AAXJ,130
6,AAXN,130
7,ABCB,130
8,ABEO,130
9,ABMD,130
10,ABTX,78
11,ABUS,130
12,ACAD,130
13,ACAMW,26
14,ACBI,78
15,ACGL,130
16,ACHC,130
17,ACIA,130
18,ACIU,130
19,ACIW,130
20,ACLS,130
21,ACMR,130
22,ACOR,130
23,ACRS,130
24,ACRX,130
25,ACST,130
26,ACTG,104
27,ACWI,130
28,ACWX,130
29,ADAP,130
30,ADBE,130
31,ADES,130
32,ADI,130
33,ADMA,130
34,ADMP,130
35,ADMS,130
36,ADP,130
37,ADPT,130
38,ADRO,130
39,ADSK,130
40,ADTN,130
41,ADUS,104
42,ADVM,130
43,ADXS,130
44,AEGN,104
45,AEIS,130
46,AEMD,52
47,AERI,130
48,AFIN,130
49,AFINP,26
50,AFMD,130
51,AFYA,104
52,AGEN,130
53,AGIO,130
54,AGNC,130
55,AGNCM,104
56,AGNCO,130
57,AGNCP,130
58,AGRX,130
59,AGTC,104
60,AGYS,130
61,AHPI,130
62,AIKI,130
63,AIMC,130
64,AIMT,130
65,AINV,130
66,AIRG,26
67,AKAM,130
68,AKBA,130
69,AKCA,130
70,AKRO,104
71,AKRX,130
72,AKTS,130
73,AKTX,52
74,ALBO,78
75,ALDX,130
76,ALEC,130
77,ALGN,130
78,ALGRR,26
79,ALGT,130
80,ALKS,130
81,ALLK,130
82,ALLO,130
83,ALLT,104
84,ALNA,78
85,ALNY,130
86,ALRM,130
87,ALT,130
88,ALTR,130
89,ALXN,130
90,AMAG,130
91,AMAL,52
92,AMAT,130
93,AMBA,130
94,AMCX,130
95,AMD,130
96,AMED,130
97,AMGN,130
98,AMKR,130
99,AMPH,130
100,AMRN,130
101,AMRS,130
102,AMSC,130
103,AMSF,130
104,AMSWA,104
105,AMTD,130
106,AMZN,130
107,ANAB,130
108,ANDE,130
109,ANGI,130
110,ANGL,130
111,ANGO,130
112,ANIK,130
113,ANSS,130
114,AOBC,130
115,AOSL,104
116,APDN,104
117,APEI,130
