Symbol,time,Date,Open,High,Low,Close,Volume,SMA_HIGH,SMA_LOW,SSL_COLOUR,SSL_SWITCH,ATR,RED_CANDLE,VOLUME_REQ,PRICE_REQ,BASELINE_REQ,TRADE_ENTRY,TRADE_RESULT,PERCENT_CHANGE
AAXJ,09:30:00,2020-04-03 09:30:00,58.88,59.08,58.85,58.94,49705,58.691499999999934,58.56699999999995,GREEN,NO,36.262142857142855,NO,YES,YES,YES,YES,TIE,-1.5609093993892003
ABEO,09:30:00,2020-04-03 09:30:00,2.15,2.19,2.09,2.18,63005,2.102164999999918,2.070004999999976,GREEN,NO,6.358214285714286,NO,YES,YES,YES,YES,TIE,-5.045871559633042
ABEO,09:30:00,2020-04-07 09:30:00,2.3472,2.51,2.3472,2.36,270735,2.243244999999919,2.2021199999999768,GREEN,NO,6.144285714285716,NO,YES,YES,YES,YES,TIE,-2.1186440677966027
ACAD,09:30:00,2020-04-06 09:30:00,42.0,42.3,41.48,42.12,45802,40.482999999999905,40.03049999999989,GREEN,NO,24.97142857142857,NO,YES,YES,YES,YES,TIE,2.777777777777782
ACLS,09:30:00,2020-04-06 09:30:00,17.81,18.7,17.81,18.55,13085,16.693499999999876,16.4879999999999,GREEN,NO,6.284285714285714,NO,YES,YES,YES,YES,TIE,2.479784366576824
ACMR,09:30:00,2020-04-06 09:30:00,27.88,29.35,27.31,29.1,37681,26.61049999999989,26.210999999999906,GREEN,NO,2.745,NO,YES,YES,YES,YES,WIN,4.716494845360825
ACRS,09:30:00,2020-04-03 09:30:00,1.11,1.12,1.11,1.12,27216,1.100499999999876,1.0854999999999122,GREEN,NO,3.6521428571428567,NO,YES,YES,YES,YES,TIE,-2.678571428571431
ACRX,09:30:00,2020-04-06 09:30:00,1.12,1.14,1.11,1.13,50275,1.0604999999998757,1.0414999999999126,GREEN,NO,2.414285714285715,NO,YES,YES,YES,YES,TIE,14.159292035398243
ACRX,09:30:00,2020-04-07 09:30:00,1.3,1.36,1.3,1.35,203639,1.2684999999998765,1.2294999999999123,GREEN,NO,2.3792857142857144,NO,YES,YES,YES,YES,TIE,-6.666666666666672
ADI,09:30:00,2020-04-03 09:30:00,87.39,88.8,86.85,88.69,78251,86.8854999999998,86.32249999999965,GREEN,NO,52.34428571428572,NO,YES,YES,YES,YES,TIE,-3.2247153004848346
ADMA,09:30:00,2020-04-06 09:30:00,3.25,3.35,3.1,3.27,436693,2.875499999999781,2.6234999999996824,GREEN,NO,35.81071428571428,NO,YES,YES,YES,YES,TIE,-2.752293577981647
ADTN,09:30:00,2020-04-03 09:30:00,7.91,8.14,7.87,8.06,5086,7.81349999999976,7.749999999999717,GREEN,NO,23.630714285714287,NO,YES,YES,YES,YES,TIE,0.7444168734491157
ADTN,09:30:00,2020-04-06 09:30:00,8.65,8.77,8.19,8.7,6240,8.009999999999758,7.92249999999972,GREEN,NO,23.462857142857146,NO,YES,YES,YES,YES,TIE,0.3448275862069096
ADXS,09:30:00,2020-04-06 09:30:00,0.55,0.57,0.54,0.57,130329,0.5264999999997559,0.5209999999997169,GREEN,NO,11.231428571428573,NO,YES,YES,YES,YES,TIE,12.280701754385976
AEIS,09:30:00,2020-04-03 09:30:00,45.38,45.99,45.2,45.86,3417,44.47499999999976,44.07349999999971,GREEN,NO,3.996428571428571,NO,YES,YES,YES,YES,LOSS,2.1786025792785493
AGNCO,09:30:00,2020-04-06 09:30:00,19.01,20.0,19.01,19.657,12357,18.105209999999786,17.905014999999693,GREEN,NO,5.47357142857143,NO,YES,YES,YES,YES,TIE,6.272574655339068
